,time,x,y,s,a,dis,o,dir,event,nflId,displayName,jerseyNumber,position,frameId,team,gameId,playId,playDirection,route,total_distance_from_football,targeted_player_name,player_in_coverage,playDescription,quarter,down,yardsToGo,possessionTeam,playType,yardlineSide,yardlineNumber,offenseFormation,personnelO,defendersInTheBox,numberOfPassRushers,personnelD,typeDropback,preSnapVisitorScore,preSnapHomeScore,gameClock,absoluteYardlineNumber,penaltyCodes,penaltyJerseyNumbers,passResult,offensePlayResult,playResult,epa,isDefensivePI
38534,2018-09-07T02:50:49.400Z,47.81,11.2,5.3,3.9,0.55,91.09,191.33,pass_arrived,2552600.0,Nelson Agholor,13.0,WR,63,home,2018090600,2360,left,CROSS,3.0,Nelson Agholor,Robert Alford,(12:57) N.Foles pass incomplete deep left to N.Agholor (R.Alford).,3,2,9,PHI,play_type_pass,PHI,42,SINGLEBACK,"1 RB, 2 TE, 2 WR",8.0,4.0,"4 DL, 3 LB, 4 DB",TRADITIONAL,6.0,3.0,12:57:00,68.0,,,I,0,0,-0.9102247387295441,False
39082,2018-09-07T02:51:31.299Z,68.54,39.58,6.38,1.32,0.64,77.36,1.8,pass_arrived,2552600.0,Nelson Agholor,13.0,WR,32,home,2018090600,2382,left,FLAT,1.0,Nelson Agholor,Brian Poole,(12:51) (Shotgun) N.Foles pass short right to N.Agholor to PHI 42 for no gain (D.Trufant). ATL-K.Neal was injured during the play.,3,3,9,PHI,play_type_pass,PHI,42,EMPTY,"1 RB, 1 TE, 3 WR",6.0,5.0,"3 DL, 3 LB, 5 DB",TRADITIONAL,6.0,3.0,12:51:00,68.0,,,C,0,0,-1.7634443306070102,False
39986,2018-09-07T02:56:08.500Z,42.46,47.65,3.48,1.78,0.34,232.54,319.04,pass_arrived,2495454.0,Julio Jones,11.0,WR,38,away,2018090600,2450,right,HITCH,1.0,Julio Jones,Ronald Darby,(11:54) M.Ryan pass short left to J.Jones to ATL 32 for 4 yards (R.Darby).,3,2,2,ATL,play_type_pass,ATL,28,SINGLEBACK,"1 RB, 3 TE, 1 WR",8.0,5.0,"4 DL, 3 LB, 4 DB",TRADITIONAL,6.0,3.0,11:54:00,38.0,,,C,4,4,0.808959285439665,False
41372,2018-09-07T02:56:51.900Z,86.91,3.73,8.63,2.0,0.87,152.45,112.11,pass_arrived,2495454.0,Julio Jones,11.0,WR,85,away,2018090600,2474,right,GO,1.0,Julio Jones,Jalen Mills,"(11:15) M.Ryan pass incomplete deep right to J.Jones (J.Mills) [D.Barnett]. Atlanta challenged the incomplete pass ruling, and the play was Upheld. The ruling on the field stands. (Timeout #1.)",3,1,10,ATL,play_type_pass,ATL,32,SINGLEBACK,"1 RB, 1 TE, 3 WR",6.0,3.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,6.0,3.0,11:15:00,42.0,,,I,0,0,-0.5397913627950389,False
43234,2018-09-07T03:01:46.400Z,34.78,29.77,7.03,1.94,0.71,204.83,171.04,pass_arrived,2495454.0,Julio Jones,11.0,WR,40,away,2018090600,2575,right,CROSS,1.0,Julio Jones,Rodney McLeod,(10:57) (Shotgun) M.Ryan pass short middle to J.Jones to ATL 26 for 6 yards (J.Hicks).,3,3,22,ATL,play_type_pass,ATL,20,SHOTGUN,"1 RB, 1 TE, 3 WR",2.0,4.0,"4 DL, 1 LB, 6 DB",TRADITIONAL,6.0,3.0,10:57:00,30.0,,,C,6,6,-1.13773379448097,False
44000,2018-09-07T03:03:17.900Z,71.8,45.74,6.15,1.72,0.62,133.57,345.59,pass_arrived,2560995.0,Dallas Goedert,88.0,TE,33,home,2018090600,2624,left,FLAT,0.0,Dallas Goedert,Ricardo Allen,"(10:11) (Shotgun) N.Foles pass short right to D.Goedert to PHI 41 for 4 yards (R.Allen, D.Jones).",3,1,10,PHI,play_type_pass,PHI,37,SHOTGUN,"1 RB, 2 TE, 2 WR",7.0,5.0,"4 DL, 3 LB, 4 DB",TRADITIONAL,6.0,3.0,10:11:00,73.0,,,C,4,4,-0.266957942570515,False
45113,2018-09-07T03:03:58.000Z,67.77,34.81,7.23,1.27,0.73,44.0,5.22,pass_arrived,2540158.0,Zach Ertz,86.0,TE,43,home,2018090600,2648,left,CROSS,1.4142135623730951,Zach Ertz,Duke Riley,(9:32) (Shotgun) N.Foles pass short right to Z.Ertz to PHI 46 for 5 yards (D.Riley).,3,2,6,PHI,play_type_pass,PHI,41,SHOTGUN,"1 RB, 2 TE, 2 WR",7.0,4.0,"4 DL, 3 LB, 4 DB",TRADITIONAL,6.0,3.0,09:32:00,69.0,,,C,5,5,-0.559747424888697,False
46123,2018-09-07T03:05:20.700Z,51.52,21.5,2.44,2.76,0.24,67.7,110.74,pass_arrived,2552600.0,Nelson Agholor,13.0,WR,47,home,2018090600,2693,left,HITCH,0.0,Nelson Agholor,Deion Jones,(8:09) (Shotgun) N.Foles pass incomplete short left to N.Agholor (D.Jones).,3,1,10,PHI,play_type_pass,ATL,46,EMPTY,"1 RB, 2 TE, 2 WR",5.0,4.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,6.0,3.0,08:09:00,56.0,,,I,0,0,-0.44835548865568603,False
47136,2018-09-07T03:09:13.400Z,57.65,34.82,5.64,1.25,0.56,295.24,314.28,pass_arrived,2552600.0,Nelson Agholor,13.0,WR,62,home,2018090600,2736,left,CROSS,19.1049731745428,Nelson Agholor,Vic Beasley,(7:41) (Shotgun) N.Agholor pass short right to N.Foles ran ob at ATL 26 for 15 yards (D.Trufant). ATL-D.Trufant was injured during the play. His return is Questionable.,3,3,5,PHI,play_type_pass,ATL,41,SHOTGUN,"1 RB, 2 TE, 2 WR",7.0,4.0,"3 DL, 3 LB, 5 DB",DESIGNED_ROLLOUT_RIGHT,6.0,3.0,07:41:00,51.0,,,C,15,15,1.9249853932340601,False
48808,2018-09-07T03:12:23.799Z,23.34,27.71,1.91,5.75,0.2,81.0,16.72,pass_arrived,2540158.0,Zach Ertz,86.0,TE,51,home,2018090600,2811,left,IN,1.4142135623730951,Zach Ertz,Ricardo Allen,"(6:00) (Shotgun) N.Foles pass short middle to Z.Ertz to ATL 6 for 18 yards (R.Allen, D.Burton).",3,3,8,PHI,play_type_pass,ATL,24,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,5.0,"3 DL, 3 LB, 5 DB",TRADITIONAL,6.0,3.0,06:00:00,34.0,,,C,18,18,1.90215049280166,False
49955,2018-09-07T03:21:37.200Z,46.73,17.24,6.08,2.03,0.62,313.7,151.44,pass_arrived,2555415.0,Austin Hooper,81.0,TE,45,away,2018090600,2980,right,CROSS,0.0,Austin Hooper,Kamu Grugier-Hill,(3:33) (Shotgun) M.Ryan pass short right to A.Hooper to ATL 40 for 15 yards (J.Mills).,3,2,25,ATL,play_type_pass,ATL,25,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,4.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,6.0,10.0,03:33:00,35.0,,,C,15,15,0.0835350065622122,False
50802,2018-09-07T03:22:21.799Z,62.31,48.61,4.43,5.96,0.45,280.57,336.38,pass_arrived,2495454.0,Julio Jones,11.0,WR,48,away,2018090600,3004,right,OUT,1.4142135623730951,Julio Jones,Ronald Darby,(2:48) (Shotgun) M.Ryan pass incomplete short left to J.Jones (R.Darby).,3,3,10,ATL,play_type_pass,ATL,40,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,5.0,"4 DL, 1 LB, 6 DB",TRADITIONAL,6.0,10.0,02:48:00,50.0,,,I,0,0,-1.7454421586849498,False
51504,2018-09-07T03:24:35.099Z,87.53,35.25,0.73,5.48,0.08,135.95,286.12,pass_arrived,2540158.0,Zach Ertz,86.0,TE,47,home,2018090600,3066,left,CROSS,0.0,Zach Ertz,De'Vondre Campbell,(1:49) (Shotgun) N.Foles pass incomplete short right to Z.Ertz (B.Poole).,3,2,6,PHI,play_type_pass,PHI,20,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,4.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,6.0,10.0,01:49:00,90.0,,,I,0,0,-0.9077189037684309,False
52424,2018-09-07T03:25:27.700Z,80.69,33.06,2.98,1.13,0.3,103.63,144.92,pass_arrived,2540158.0,Zach Ertz,86.0,TE,52,home,2018090600,3095,left,HITCH,1.0,Zach Ertz,Desmond Trufant,(1:41) (Shotgun) N.Foles pass incomplete short right to Z.Ertz.,3,3,6,PHI,play_type_pass,PHI,20,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,5.0,"3 DL, 3 LB, 5 DB",SCRAMBLE,6.0,10.0,01:41:00,90.0,,,I,0,0,-1.5350309156175,False
54242,2018-09-07T03:28:57.400Z,50.55,22.44,0.87,1.04,0.09,263.02,156.61,pass_arrived,2558023.0,Eric Saubert,85.0,TE,47,away,2018090600,3203,right,HITCH,0.0,Eric Saubert,Rodney McLeod,(:40) (Shotgun) M.Ryan pass incomplete short middle to E.Saubert (R.McLeod) [F.Cox].,3,3,6,ATL,play_type_pass,ATL,30,SHOTGUN,"2 RB, 1 TE, 2 WR",6.0,4.0,"4 DL, 1 LB, 6 DB",TRADITIONAL,6.0,10.0,00:40:00,40.0,,,I,0,0,-1.6675471232178998,False
54739,2018-09-07T03:31:10.400Z,73.3,31.02,1.06,1.95,0.12,115.47,187.12,pass_arrived,2543583.0,Devonta Freeman,24.0,RB,27,away,2018090600,3257,right,,7.0,Devonta Freeman,Nate Gerry,(:20) (Shotgun) M.Ryan pass incomplete short right to J.Jones (N.Gerry).,3,1,10,ATL,play_type_pass,PHI,32,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,6.0,"4 DL, 3 LB, 4 DB",TRADITIONAL,6.0,10.0,00:20:00,78.0,,,I,0,0,-0.302429394568295,False
55536,2018-09-07T03:31:56.900Z,81.91,22.54,1.85,2.85,0.19,240.98,112.68,pass_arrived,2533040.0,Mohamed Sanu,12.0,WR,42,away,2018090600,3279,right,HITCH,1.0,Mohamed Sanu,Jordan Hicks,(:17) (Shotgun) M.Ryan pass short middle to M.Sanu to PHI 27 for 5 yards (J.Hicks).,3,2,10,ATL,play_type_pass,PHI,32,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,4.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,6.0,10.0,00:17:00,78.0,,,C,5,5,-0.205349187153297,False
56374,2018-09-07T03:37:32.400Z,10.78,3.25,4.23,3.75,0.43,127.09,187.95,pass_arrived,2495454.0,Julio Jones,11.0,WR,50,away,2018090600,3392,left,CORNER,2.0,Julio Jones,Rasul Douglas,(13:03) (Shotgun) M.Ryan pass short left intended for J.Jones INTERCEPTED by R.Douglas at PHI 4. R.Douglas ran ob at PHI 4 for no gain.,4,3,3,ATL,play_type_pass,PHI,15,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,7.0,"4 DL, 1 LB, 6 DB",TRADITIONAL,6.0,10.0,13:03:00,25.0,,,IN,0,0,-2.9975886107905203,False
57182,2018-09-07T03:42:41.400Z,55.95,29.61,4.01,7.04,0.42,312.76,36.84,pass_arrived,2560995.0,Dallas Goedert,88.0,TE,48,home,2018090600,3481,right,POST,1.0,Dallas Goedert,Damontae Kazee,(10:45) (Shotgun) N.Foles pass deep middle intended for D.Goedert INTERCEPTED by D.Jones (D.Kazee) at PHI 47. D.Jones to PHI 27 for 20 yards (J.Ajayi).,4,1,10,PHI,play_type_pass,PHI,29,SHOTGUN,"1 RB, 2 TE, 2 WR",7.0,4.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,6.0,10.0,10:45:00,39.0,,,IN,0,0,-5.38754045439559,False
58782,2018-09-07T03:43:40.200Z,20.52,44.96,0.78,2.59,0.09,101.02,309.77,pass_arrived,2495454.0,Julio Jones,11.0,WR,55,away,2018090600,3507,left,OUT,1.0,Julio Jones,Jalen Mills,(10:35) M.Ryan pass deep right to J.Jones to PHI 9 for 18 yards (J.Mills) [D.Vaeao].,4,1,10,ATL,play_type_pass,PHI,27,I_FORM,"1 RB, 2 TE, 2 WR",7.0,4.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,6.0,10.0,10:35:00,37.0,,,C,18,18,1.16093637668398,False
59753,2018-09-07T03:50:30.000Z,49.77,20.09,1.16,2.39,0.12,239.9,167.06,pass_arrived,2552600.0,Nelson Agholor,13.0,WR,50,home,2018090600,3626,right,,0.0,Nelson Agholor,Deion Jones,"(8:31) (Shotgun) N.Foles pass short right to N.Agholor to PHI 41 for 10 yards (D.Jones). PENALTY on PHI-Z.Ertz, Offensive Pass Interference, 10 yards, enforced at PHI 31 - No Play.",4,3,4,PHI,play_type_unknown,PHI,31,SHOTGUN,"1 RB, 2 TE, 2 WR",6.0,,"3 DL, 3 LB, 5 DB",,,,,,OPI,PHI 86,C,10,-10,-0.6947432409726889,False
60614,2018-09-07T03:52:51.099Z,48.5,17.51,4.02,4.3,0.4,302.25,13.71,pass_arrived,2540158.0,Zach Ertz,86.0,TE,51,home,2018090600,3678,right,POST,1.0,Zach Ertz,Ricardo Allen,(7:59) (Shotgun) N.Foles pass incomplete deep right to Z.Ertz.,4,3,14,PHI,play_type_pass,PHI,21,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,4.0,"3 DL, 3 LB, 5 DB",TRADITIONAL,12.0,10.0,07:59:00,31.0,,,I,0,0,-1.45191444274483,False
61066,2018-09-07T03:59:06.500Z,92.21,17.48,2.33,4.08,0.23,307.0,146.48,pass_arrived,2533040.0,Mohamed Sanu,12.0,WR,28,away,2018090600,3791,left,SCREEN,1.0,Mohamed Sanu,Sidney Jones,(7:15) (Shotgun) M.Ryan pass short left to M.Sanu to ATL 18 for -5 yards (S.Jones).,4,1,20,ATL,play_type_pass,ATL,23,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,5.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,12.0,10.0,07:15:00,87.0,,,C,-5,-5,-0.8962501183637801,False
63029,2018-09-07T04:00:38.400Z,96.18,15.83,3.91,0.44,0.4,90.4,231.33,pass_arrived,2543583.0,Devonta Freeman,24.0,RB,51,away,2018090600,3844,left,FLAT,1.4142135623730951,Devonta Freeman,Rodney McLeod,(5:45) (Shotgun) M.Ryan pass short left to D.Freeman to ATL 29 for 14 yards (C.Graham).,4,3,28,ATL,play_type_pass,ATL,15,SHOTGUN,"1 RB, 1 TE, 3 WR",3.0,4.0,"4 DL, 1 LB, 6 DB",TRADITIONAL,12.0,10.0,05:45:00,95.0,,,C,14,14,-0.343923961780219,False
64215,2018-09-07T04:04:57.099Z,58.54,4.17,5.79,1.43,0.58,282.8,195.05,pass_arrived,2552600.0,Nelson Agholor,13.0,WR,37,home,2018090600,3904,right,OUT,1.0,Nelson Agholor,Desmond Trufant,(4:51) (Shotgun) N.Foles pass short right to N.Agholor pushed ob at PHI 48 for 2 yards (D.Trufant).,4,1,10,PHI,play_type_pass,PHI,46,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,3.0,"3 DL, 3 LB, 5 DB",TRADITIONAL,12.0,10.0,04:51:00,56.0,,,C,2,2,-0.28020006700326,False
65423,2018-09-07T04:05:37.000Z,104.0,44.65,6.68,2.56,0.68,289.78,82.06,pass_arrived,2507763.0,Mike Wallace,14.0,WR,72,home,2018090600,3928,right,GO,0.0,Mike Wallace,Robert Alford,(4:48) (Shotgun) N.Foles pass incomplete deep left to M.Wallace (R.Alford).,4,2,8,PHI,play_type_pass,PHI,48,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,4.0,"3 DL, 3 LB, 5 DB",TRADITIONAL,12.0,10.0,04:48:00,58.0,,,I,0,0,-0.765125130944749,False
66232,2018-09-07T04:06:20.299Z,56.91,10.43,5.25,1.09,0.53,244.31,167.13,pass_arrived,2506467.0,Darren Sproles,43.0,RB,47,home,2018090600,3950,right,FLAT,1.0,Darren Sproles,Vic Beasley,(4:41) (Shotgun) N.Foles pass short right to D.Sproles pushed ob at ATL 43 for 9 yards (D.Trufant).,4,3,8,PHI,play_type_pass,PHI,48,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,3.0,"3 DL, 3 LB, 5 DB",TRADITIONAL,12.0,10.0,04:41:00,58.0,,,C,9,9,1.7015654046812498,False
67642,2018-09-07T04:07:09.400Z,68.51,2.95,0.84,3.29,0.1,353.45,155.07,pass_arrived,2506467.0,Darren Sproles,43.0,RB,56,home,2018090600,3979,right,FLAT,1.0,Darren Sproles,Ricardo Allen,(4:32) (Shotgun) N.Foles pass short right to D.Sproles pushed ob at ATL 37 for 6 yards (R.Allen).,4,1,10,PHI,play_type_pass,ATL,43,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,4.0,"3 DL, 3 LB, 5 DB",TRADITIONAL,12.0,10.0,04:32:00,67.0,,,C,6,6,0.0379609813302078,False
68588,2018-09-07T04:14:55.000Z,80.44,36.87,0.88,1.7,0.09,111.45,0.2,pass_arrived,2555415.0,Austin Hooper,81.0,TE,40,away,2018090600,4142,left,HITCH,1.0,Austin Hooper,Corey Graham,(2:19) (Shotgun) M.Ryan pass short right to A.Hooper to ATL 31 for 6 yards (C.Graham).,4,1,10,ATL,play_type_pass,ATL,25,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,4.0,"4 DL, 1 LB, 6 DB",TRADITIONAL,12.0,18.0,02:19:00,85.0,,,C,6,6,-0.0684481276714521,False
69532,2018-09-07T04:15:13.799Z,60.48,33.29,7.02,0.95,0.71,171.79,204.37,pass_arrived,2495454.0,Julio Jones,11.0,WR,53,away,2018090600,4166,left,IN,1.4142135623730951,Julio Jones,Jalen Mills,"(2:01) (No Huddle, Shotgun) M.Ryan pass deep middle to J.Jones to PHI 33 for 36 yards (R.McLeod). PHI-R.McLeod was injured during the play.",4,2,4,ATL,play_type_pass,ATL,31,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,4.0,"4 DL, 1 LB, 6 DB",TRADITIONAL,12.0,18.0,02:01:00,79.0,,,C,36,36,1.9480701621695102,False
72080,2018-09-07T04:18:00.000Z,31.35,3.77,2.17,4.3,0.18,113.13,170.97,pass_arrived,2495454.0,Julio Jones,11.0,WR,56,away,2018090600,4258,left,OUT,0.0,Julio Jones,Ronald Darby,"(1:25) (No Huddle, Shotgun) M.Ryan pass deep left to J.Jones to PHI 22 for 18 yards (R.Darby) [C.Long].",4,3,17,ATL,play_type_pass,PHI,40,SHOTGUN,"1 RB, 1 TE, 3 WR",4.0,4.0,"4 DL, 1 LB, 6 DB",TRADITIONAL,12.0,18.0,01:25:00,50.0,,,C,18,18,1.58734393953769,False
72738,2018-09-07T04:19:06.799Z,25.51,33.49,4.05,1.68,0.4,96.32,215.1,pass_arrived,2495454.0,Julio Jones,11.0,WR,39,away,2018090600,4282,left,IN,0.0,Julio Jones,Jalen Mills,(1:18) (Shotgun) M.Ryan pass short right to J.Jones to PHI 13 for 9 yards (J.Mills).,4,1,10,ATL,play_type_pass,PHI,22,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,4.0,"4 DL, 1 LB, 6 DB",TRADITIONAL,12.0,18.0,01:18:00,32.0,,,C,9,9,0.315291940137645,False
74364,2018-09-07T04:19:55.500Z,23.12,21.77,5.16,1.47,0.53,58.32,338.02,pass_arrived,2533040.0,Mohamed Sanu,12.0,WR,43,away,2018090600,4325,left,SLANT,1.4142135623730951,Mohamed Sanu,Sidney Jones,"(:29) (No Huddle, Shotgun) M.Ryan pass short left to M.Sanu to PHI 10 for 10 yards (S.Jones).",4,3,8,ATL,play_type_pass,PHI,20,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,5.0,"4 DL, 1 LB, 6 DB",TRADITIONAL,12.0,18.0,00:29:00,30.0,,,C,10,10,1.0409536581526802,False
78856,2018-09-07T04:24:10.000Z,5.75,0.49,3.8,5.13,0.44,63.63,200.53,pass_arrived,2495454.0,Julio Jones,11.0,WR,46,away,2018090600,4472,left,GO,0.0,Julio Jones,Ronald Darby,(:01) (Shotgun) M.Ryan pass incomplete short left to J.Jones [D.Barnett].,4,1,5,ATL,play_type_pass,PHI,5,EMPTY,"1 RB, 1 TE, 3 WR",7.0,4.0,"4 DL, 1 LB, 6 DB",TRADITIONAL,12.0,18.0,00:01:00,15.0,,,I,0,0,-4.19748486428596,False
