displayName,defenseTeam,coverageGrade
Rodney McLeod,PHI,81.1
Ronald Jones,PHI,73.8
Sidney Jones,PHI,73.1
Brandon Graham ,PHI,70.2
Malcolm Jenkins,PHI,65.9
Rasul Douglas,PHI,60
Michael Bennett,PHI,60
Corey Graham,PHI,60
Jordan Hicks,PHI,58.9
Jalen Mills,PHI,55.9
Nathan Gerry,PHI,55.6
Kamu Grugier-Hill,PHI,53
Deion Jones,ATL,90.5
Robert Alford,ATL,85.3
Duke Riley ,ATL,79.7
Damontae Kazee,ATL,76.3
Brian Poole,ATL,74.9
Ricardo Allen,ATL,72.5
De'Vondre Campbell,ATL,69.7
Deante Burton,ATL,62
Foyesade Oluokun,ATL,60
Grady Jarrett,ATL,60
Keanu Neal,ATL,58
Desmond Trufant,ATL,55.7
Vic Beasley Jr. ,ATL,39.1